Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
Chooch780,Center,Official,31,59,8,176,79,97,-93,395,893,160:00,39.2,20,217,495,23,152,0.757,37,115,0.37,98,1.7959183673469388,0.3163265306122449
DirtyDeeds200,Left Defense,Official,45,45,7,81,13,68,-33,129,26,102:00,0,10.1,344,593,109,34,0.706,10,24,0.1,97,0.8350515463917526,0.4639175257731959
He_H8_Me_85,Center,Official,65,90,18,319,153,165,-145,730,427,102:00,48,21,402,1102,78,10,0.8,2,8,0.01,173,1.8439306358381502,0.37572254335260113
TheRawdawg69,Left Wing,Official,64,82,20,123,26,97,-98,262,472,246:00,44.9,9.9,426,771,111,490,0.708,143,347,0.86,166,0.7409638554216867,0.3855421686746988
YaBoiWattsy,Center,Official,21,29,1,54,18,36,-49,115,178,27:00,34.6,15.7,137,370,38,0,0,0,0,0,51,1.0588235294117647,0.4117647058823529
gregroth12,Center,Official,8,25,3,64,39,25,-75,155,119,43:00,44.3,25.2,101,394,31,0,0,0,0,0,36,1.7777777777777777,0.2222222222222222
dlp3273,Right Wing,Official,6,14,2,24,12,12,-59,118,122,25:00,44.8,10.2,45,204,21,0,0,0,0,0,22,1.0909090909090908,0.2727272727272727
Oppiicity,Right Wing,Official,19,12,2,97,46,51,20,142,71,51:00,41.9,32.4,98,468,18,0,0,0,0,0,33,2.9393939393939394,0.5757575757575758
EclipzOT,Goalie,Official,0,1,0,1,0,1,-1,1,1,2:00,0,0,3,3,0,0,0,0,0,0,1,1,0
ender554,Left Defense,Official,45,48,9,137,43,94,-40,268,326,70:00,52.2,16,202,672,56,0,0,0,0,0,102,1.3431372549019607,0.4411764705882353
Semp3rjuggal0,Center,Official,7,59,3,107,66,41,-224,290,126,100:00,36.6,22.8,168,632,26,0,0,0,0,0,69,1.5507246376811594,0.10144927536231885
Carbeen-,Goalie,Official,61,62,10,256,109,147,-4,496,240,63:00,52.8,22,324,1117,77,0,0,0,0,0,133,1.9248120300751879,0.45864661654135336
KoltTheBolt45,Right Wing,Official,49,27,5,69,26,43,-10,104,65,30:00,31.6,25,105,410,28,640,0.809,122,518,1.44,81,0.8518518518518519,0.6049382716049383
rimms_usamp_85,Right Defense,Official,4,17,0,16,2,14,-67,15,127,30:00,0,13.3,52,96,33,0,0,0,0,0,21,0.7619047619047619,0.19047619047619047
iPovrty,Goalie,Official,8,16,0,29,12,17,-40,84,10,40:00,42.9,14.3,56,310,14,0,0,0,0,0,24,1.2083333333333333,0.3333333333333333
Brandflakes29,Right Wing,Official,86,100,19,401,217,184,-108,931,187,95:00,49.7,23.3,491,1208,56,0,0,0,0,0,205,1.9560975609756097,0.4195121951219512
Scrueyouhippy,Center,Official,43,64,5,227,97,130,-151,399,69,80:00,38.4,24.3,319,1098,58,0,0,0,0,0,112,2.0267857142857144,0.38392857142857145
Bong_Brothers,Goalie,Official,10,30,0,0,0,0,0,0,0,0:00,0,0,0,0,0,805,0.745,205,600,5.07,40,0,0.25
Rbobby1420,Right Defense,Official,5,11,0,6,0,6,-32,11,21,32:00,0,0,40,48,22,0,0,0,0,0,16,0.375,0.3125
riccoakasuave,Right Defense,Official,16,22,4,32,3,29,-39,47,199,38:00,0,6.4,129,263,29,0,0,0,0,0,42,0.7619047619047619,0.38095238095238093
IrIsh__InVaSiOn,Left Wing,Official,0,9,2,18,10,8,-24,36,4,16:00,43.2,27.8,23,112,4,0,0,0,0,0,11,1.6363636363636365,0
talkingstick92,Left Wing,Official,12,27,5,56,26,30,-84,190,101,28:00,47.4,13.7,112,247,53,0,0,0,0,0,44,1.2727272727272727,0.2727272727272727
Duval_blooded,Right Defense,Official,94,113,22,151,16,135,-162,257,603,350:00,0,6.2,656,1262,110,0,0,0,0,0,229,0.6593886462882096,0.4104803493449782
Hot_logger,Left Defense,Official,2,19,1,36,16,20,-76,80,96,25:00,54.5,20,38,125,10,0,0,0,0,0,22,1.6363636363636365,0.09090909090909091
