Player Name,Position,Type,Wins,Losses,Overtime Losses,Points,Goals,Assists,+/-,Shots,Hits,Penalty Minutes,Faceoff %,Shot %,Takeaways,Giveaways,Blocks,Shots Against,Save %,Goals Against,Saves,GAA,Games Played,Points Per Game,Win %
Chooch780,Center,C,8,27,2,80,39,41,-52,161,533,87:00,40.9,24.2,103,131,9,0,0,0,0,0,37,2.1621621621621623,0.21621621621621623
DirtyDeeds200,Left Defense,LD,44,41,7,81,13,68,-32,129,26,102:00,0,10.1,341,585,109,0,0,0,0,0,92,0.8804347826086957,0.4782608695652174
He_H8_Me_85,Center,C,58,74,17,299,138,160,-122,668,360,86:00,47.9,20.7,357,940,78,0,0,0,0,0,149,2.0067114093959733,0.38926174496644295
TheRawdawg69,Left Wing,LW,2,4,0,6,4,2,-5,21,17,14:00,0,19,13,45,0,0,0,0,0,0,6,1,0.3333333333333333
YaBoiWattsy,Center,C,0,0,0,0,0,0,0,0,0,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0
gregroth12,Center,C,6,25,3,52,31,21,-78,140,112,43:00,44.3,22.1,96,378,30,0,0,0,0,0,34,1.5294117647058822,0.17647058823529413
dlp3273,Right Wing,RW,6,14,2,24,12,12,-59,118,122,25:00,44.8,10.2,45,204,21,0,0,0,0,0,22,1.0909090909090908,0.2727272727272727
Oppiicity,Right Wing,RW,19,8,2,91,42,49,30,132,62,47:00,41.4,31.8,88,430,16,0,0,0,0,0,29,3.1379310344827585,0.6551724137931034
EclipzOT,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
ender554,Left Defense,LD,15,10,1,21,2,19,14,37,37,20:00,0,5.4,60,160,36,0,0,0,0,0,26,0.8076923076923077,0.5769230769230769
Semp3rjuggal0,Center,C,5,23,0,34,22,12,-102,115,78,54:00,36.6,19.1,77,265,25,0,0,0,0,0,28,1.2142857142857142,0.17857142857142858
Carbeen-,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
KoltTheBolt45,Right Wing,RW,8,15,0,54,23,31,-35,82,40,18:00,31.6,28,59,323,8,0,0,0,0,0,23,2.347826086956522,0.34782608695652173
rimms_usamp_85,Right Defense,RD,4,17,0,16,2,14,-67,15,127,30:00,0,13.3,52,96,33,0,0,0,0,0,21,0.7619047619047619,0.19047619047619047
iPovrty,Goalie,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandflakes29,Right Wing,RW,17,28,2,90,48,42,-52,207,97,23:00,33.3,23.2,107,411,10,0,0,0,0,0,47,1.9148936170212767,0.3617021276595745
Scrueyouhippy,Center,C,30,40,3,144,64,80,-93,248,42,60:00,38.4,25.8,228,633,54,0,0,0,0,0,73,1.9726027397260273,0.410958904109589
Bong_Brothers,Goalie,G,10,30,0,0,0,0,0,0,0,0:00,0,0,0,0,0,805,0.745,205,600,5.07,40,0,0.25
Rbobby1420,Right Defense,RD,2,4,0,1,0,1,-16,6,9,14:00,0,0,15,6,7,0,0,0,0,0,6,0.16666666666666666,0.3333333333333333
riccoakasuave,Right Defense,RD,14,21,4,31,2,29,-38,45,164,33:00,0,4.4,118,252,29,0,0,0,0,0,39,0.7948717948717948,0.358974358974359
IrIsh__InVaSiOn,Left Wing,LW,0,7,1,13,7,6,-23,29,4,10:00,50,24.1,14,91,1,0,0,0,0,0,8,1.625,0
talkingstick92,Left Wing,LW,2,1,0,6,4,2,-4,15,6,2:00,0,26.7,7,38,2,0,0,0,0,0,3,2,0.6666666666666666
Duval_blooded,Right Defense,RD,80,102,18,134,13,121,-158,218,554,298:00,0,6,586,1101,81,0,0,0,0,0,200,0.67,0.4
